day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2021-11-14 04:00:00.000 UTC,1208,4.1102559503103025e+07,75644.71266854751,10,2.6659667485303516e+06,389696.5012185827
2021-09-28 14:00:00.000 UTC,1864,1.0885835056105123e+08,243876.68813062395,14,2.9395990448342515e+06,-465395.7168296948
2021-08-25 05:00:00.000 UTC,1662,5.065746316286981e+07,105829.82183751713,10,2.0642637613885049e+06,-676426.6427542976
2021-08-24 02:00:00.000 UTC,1959,1.3074211201114443e+08,138619.0199820085,16,4.774395238221812e+07,-480741.5656378
2021-08-23 01:00:00.000 UTC,1914,4.975697269654042e+07,103692.70157405434,19,9.785283345714413e+07,-1.6792185804712677e+06
2021-08-17 18:00:00.000 UTC,2190,6.370629992025268e+07,113195.9324945841,25,2.177391447789201e+06,1.2272998861213725e+06
2021-07-27 07:00:00.000 UTC,1734,3.152049819580955e+07,51149.8518547726,42,3.1756847856383063e+06,773622.7998060896
2021-06-29 05:00:00.000 UTC,1864,2.666022717239991e+07,43431.44696790228,82,5.273623110354631e+07,265614.9759257319
2021-06-10 06:00:00.000 UTC,1884,2.7819180664606377e+07,86926.1812234609,58,5.981701116574494e+06,-7.893662695686713e+06
2021-05-06 20:00:00.000 UTC,1027,9.260398259188946e+06,30431.86691962389,79,1.2414187205148086e+07,8.939236216703601e+06
2023-07-20 12:00:00.000 UTC,2120,2.4808308332048018e+07,36655.988707178956,14,6.641478126613348e+06,5.625504344129913e+06
2023-07-15 04:00:00.000 UTC,1213,1.6424436108528784e+07,14013.207547740883,11,576238.7617447575,27789.005493368044
2023-07-12 08:00:00.000 UTC,1361,1.0345045463502413e+07,9422.614455418006,11,8.016350639982301e+06,1.3779831977882762e+06
2023-06-14 18:00:00.000 UTC,2027,7.682418205430286e+07,53483.270358440175,11,6.770891384210223e+06,412340.00861459516
2023-05-27 13:00:00.000 UTC,3055,2.0389238866777122e+07,56012.56852346059,13,2.29505282464482e+07,43162.16829424634
2023-05-09 08:00:00.000 UTC,2825,2.3847035473559722e+07,48834.22124355939,35,4.590708843244446e+07,4.2848276802208886e+07
2023-01-03 08:00:00.000 UTC,1142,1.1940310597517129e+07,9138.396160445987,28,1.832031748084289e+08,445996.78685854754
2022-12-29 12:00:00.000 UTC,1314,1.1230153091766685e+07,9965.46065331845,25,4.0381729526902564e+07,-556589.3994310716
2022-12-17 02:00:00.000 UTC,2787,5.0581185961129196e+07,48017.52226035744,57,2.8335066325946075e+08,-141098.04470731568
